model,condition,n,reference_coverage,concise_proxy,word_count,provider_input_tokens,provider_output_tokens,latency_ms,automatic_pass_rate,length_termination
llama3.2:1b,domain_dynamic,8,0.375,0.125,189.25,114.75,246.125,3776.220375,0.9375,0.625
llama3.2:1b,history_rag,8,0.208333,0.625,103.75,133.75,135.5,2136.106375,0.6875,0.25
llama3.2:1b,no_personalization,8,0.302083,0.375,181.75,82.75,241.375,4073.335375,0.875,0.75
qwen3:8b,domain_dynamic,8,0.447917,1.0,128.125,111.25,185.0,10114.593875,1.0,0.25
qwen3:8b,history_rag,8,0.604167,1.0,72.0,130.25,97.5,5522.912625,1.0,0.0
qwen3:8b,no_personalization,8,0.5625,0.75,169.0,79.25,220.75,12753.0465,1.0,0.5
