model,target,comparator,metric,n_pairs,n_task_clusters,mean_paired_difference,exploratory_cluster_bootstrap_low,exploratory_cluster_bootstrap_high
llama3.2:1b,domain_dynamic,static_global,provider_output_tokens,8,4,0.25,0.0,0.75
llama3.2:1b,domain_dynamic,static_global,latency_ms,8,4,90.29425,34.18725,159.84175
llama3.2:1b,domain_dynamic,static_global,automatic_pass_rate,8,4,-0.0625,-0.1875,0.0
llama3.2:1b,domain_dynamic,static_global,length_termination,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,dynamic_global,reference_coverage,8,4,-0.0625,-0.15625,0.09375
qwen3:8b,domain_dynamic,dynamic_global,concise_proxy,8,4,0.125,0.0,0.375
qwen3:8b,domain_dynamic,dynamic_global,word_count,8,4,-5.125,-12.375,2.0
qwen3:8b,domain_dynamic,dynamic_global,provider_input_tokens,8,4,59.5,56.0,63.0
qwen3:8b,domain_dynamic,dynamic_global,provider_output_tokens,8,4,4.0,-4.625,12.0
qwen3:8b,domain_dynamic,dynamic_global,latency_ms,8,4,-120.207,-1241.849875,713.29425
qwen3:8b,domain_dynamic,dynamic_global,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,dynamic_global,length_termination,8,4,0.25,0.0,0.5
qwen3:8b,domain_dynamic,history_rag,reference_coverage,8,4,-0.145833,-0.166667,-0.125
qwen3:8b,domain_dynamic,history_rag,concise_proxy,8,4,-0.125,-0.375,0.0
qwen3:8b,domain_dynamic,history_rag,word_count,8,4,67.0,39.25,94.75
qwen3:8b,domain_dynamic,history_rag,provider_input_tokens,8,4,67.5,64.0,71.0
qwen3:8b,domain_dynamic,history_rag,provider_output_tokens,8,4,98.375,48.0,148.75
qwen3:8b,domain_dynamic,history_rag,latency_ms,8,4,6181.92825,3247.02425,9116.83225
qwen3:8b,domain_dynamic,history_rag,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,history_rag,length_termination,8,4,0.5,0.0,1.0
qwen3:8b,domain_dynamic,no_personalization,reference_coverage,8,4,0.020833,-0.145833,0.166667
qwen3:8b,domain_dynamic,no_personalization,concise_proxy,8,4,0.125,0.0,0.375
qwen3:8b,domain_dynamic,no_personalization,word_count,8,4,-23.0,-44.5,0.25
